Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_1206_3216Metric",154.000000,-99.800000,180.000000,top
"C2","47uF","C_1206_3216Metric",154.000000,-102.100000,180.000000,top
"C3","0.1uF","CP_EIA-3216-18_Kemet-A",137.300000,-95.700000,90.000000,top
"C4","0.1uF","CP_EIA-3216-18_Kemet-A",121.500000,-102.500000,180.000000,top
"D1","1N4148W","D_DO-35_SOD27_P7.62mm_Horizontal",149.640000,-92.110000,-90.000000,top
"D2","1N4148W","D_DO-35_SOD27_P7.62mm_Horizontal",146.380000,-99.730000,90.000000,top
"D3","1N4148W","D_DO-35_SOD27_P7.62mm_Horizontal",149.630000,-109.660000,90.000000,top
"D4","1N4148W","D_DO-35_SOD27_P7.62mm_Horizontal",146.370000,-102.030000,-90.000000,top
"J1","XLR3","Jack_XLR_Neutrik_NC3FAAV-0_Vertical",173.300000,-95.330000,0.000000,top
"J2","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",117.808000,-98.900000,180.000000,top
"R1","33K","C_0805_2012Metric",125.428000,-86.710000,0.000000,top
"R2","12K","C_0805_2012Metric",129.628000,-86.710000,0.000000,top
"R3","2.2K","C_0805_2012Metric",143.200000,-102.710000,-90.000000,top
"R4","2.2K","C_0805_2012Metric",143.200000,-99.060000,90.000000,top
"R5","27R","C_0805_2012Metric",122.700000,-106.000000,90.000000,top
"RV1","R_Potentiometer","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",132.600000,-107.900000,-90.000000,top
"U1","TLV2371DBV","SOT-23-5",127.678000,-90.460000,90.000000,top
"U2","INA217AIDWR","DW16",130.100000,-100.900000,180.000000,top
